title,image_url,link_url,link_type,platform_name
Saeki,http://www.asahi-net.or.jp/~cs8k-cyu/palm/saeki1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/saeki.html,detail,palm
HenyaG,http://www.asahi-net.or.jp/~cs8k-cyu/henyag/hg_gs6.gif,http://www.asahi-net.or.jp/~cs8k-cyu/henyag/index.html,detail,palm
Noiz2,http://www.asahi-net.or.jp/~cs8k-cyu/java/noiz2_s.gif,http://www.asahi-net.or.jp/~cs8k-cyu/java/noiz2.html,detail,java
Noiz,http://www.asahi-net.or.jp/~cs8k-cyu/palm/noiz_java1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/noiz_java.html,detail,java
Sensya,undefined,http://www.asahi-net.or.jp/~cs8k-cyu/java/Sensya/Sensya.html,detail,java
BONG,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/bong1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/bong.html,detail,java
Comraid,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/comraid.gif,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/comraid.html,detail,java
The River Meguro,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/river.gif,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/river.html,detail,java
Fangs Out,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/fomw_title.gif,http://www.asahi-net.or.jp/~cs8k-cyu/java3d/fomw.html,detail,java
Fangs Out 2,http://www.asahi-net.or.jp/~cs8k-cyu/free/fo2view/ERG003.GIF,http://www.asahi-net.or.jp/~cs8k-cyu/free/fo2.html,detail,pc_98
The Kibasen,http://www.asahi-net.or.jp/~cs8k-cyu/free/kiview/kiba3.gif,http://www.asahi-net.or.jp/~cs8k-cyu/free/kiba.html,detail,pc_98
SPRINGING TREE,http://www.asahi-net.or.jp/~cs8k-cyu/img/springing_tree.png,undefined,detail,petitcom
BOUNCY BALLS,http://www.asahi-net.or.jp/~cs8k-cyu/img/bouncy_balls.png,undefined,detail,petitcom
ROBOT SWARM,http://www.asahi-net.or.jp/~cs8k-cyu/img/robot_swarm.png,undefined,detail,petitcom
pongpector,https://camo.githubusercontent.com/cb8088b603908903ff1a1d353cdb7b7a21c4a18ae68eb0fe26560d67c076dc4e/687474703a2f2f61626167616d65732e73616b7572612e6e652e6a702f31362f706f6e67706563746f722f73637265656e73686f742e676966,https://github.com/abagames/pongpector,detail,unity
PixelArtGen,https://camo.githubusercontent.com/2bca415292d48638ee9cbdb142d36394d252b7c10f67419f92fb8a652ec079a0/687474703a2f2f61626167616d65732e73616b7572612e6e652e6a702f31362f506978656c41727447656e2f73637265656e73686f742e676966,https://github.com/abagames/PixelArtGen,detail,unity
Urban Drivin',http://www.asahi-net.or.jp/~cs8k-cyu/i/urbandrivin1.gif,http://www.asahi-net.or.jp/~cs8k-cyu//i/index_pc.html,detail,i_appli
3d dokei,http://www.asahi-net.or.jp/~cs8k-cyu/i/cameraclock1.gif,http://www.asahi-net.or.jp/~cs8k-cyu//i/index_pc.html,detail,i_appli
Laser Command,http://www.asahi-net.or.jp/~cs8k-cyu/i/lc1.gif,http://www.asahi-net.or.jp/~cs8k-cyu//i/index_pc.html,detail,i_appli
Building Racer,http://www.asahi-net.or.jp/~cs8k-cyu/i/bld1.gif,http://www.asahi-net.or.jp/~cs8k-cyu//i/index_pc.html,detail,i_appli
Hetare Tokei,http://www.asahi-net.or.jp/~cs8k-cyu/i/flptime1.gif,http://www.asahi-net.or.jp/~cs8k-cyu//i/index_pc.html,detail,i_appli
Noiz2,http://www.asahi-net.or.jp/~cs8k-cyu/java/noiz2_cosmo_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/java/noiz2_cosmo.html,detail,pocket_cosmo
Waba nori Ruputer!,http://www.asahi-net.or.jp/~cs8k-cyu/waba_ruputer/waba_fil.gif,http://www.asahi-net.or.jp/~cs8k-cyu/waba_ruputer/,detail,ruputer
METEORITE,http://www.asahi-net.or.jp/~cs8k-cyu/zaurus/meteo1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/zaurus/meteo.html,detail,zaurus
METEORITE,http://www.asahi-net.or.jp/~cs8k-cyu/img/meteorite.png,undefined,detail,pc_60
